source_work_id,original_title,authors,edition_subtitles,edition_urls,canonical_document_id,decision,explanation
OL13386549W,Nebraska,"[""George Whitmore""]",[],"[""https://openlibrary.org/books/OL60895413M.json""]",OL13386549W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42565210W,Nebraska,"[""Ann Heinrichs"", ""Matt Kania""]",[],"[""https://openlibrary.org/books/OL57778691M.json"", ""https://openlibrary.org/books/OL57785818M.json""]",OL42565210W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL17618370W,Clean Code,"[""Robert C. Martin""]","[""A Handbook of Agile Software Craftsmanship"", ""Manual de estilo para el desarrollo ágil de software"", ""a Handbook of Agile Software Craftsmanship""]","[""https://openlibrary.org/books/OL16900934M.json"", ""https://openlibrary.org/books/OL25414245M.json"", ""https://openlibrary.org/books/OL29220209M.json""]",OL17618370W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL44556550W,Clean Code,"[""Robert Martin""]","[""A Handbook of Agile Software Craftsmanship""]","[""https://openlibrary.org/books/OL60846175M.json""]",OL17618370W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL19714233W,Ikigai,"[""Francesc Miralles"", ""Héctor García""]","[""The Japanese Secret to a Long and Happy Life"", ""the Japanese secret to a long and happy life"", ""लम्बे और खुशहाल जीवन का जापानी रहस्य""]","[""https://openlibrary.org/books/OL26927371M.json"", ""https://openlibrary.org/books/OL26948755M.json"", ""https://openlibrary.org/books/OL40222826M.json"", ""https://openlibrary.org/books/OL47079074M.json""]",OL19714233W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42419347W,Ikigai,"[""Mari Fujimoto"", ""Michael Kenna""]","[""Japanese Words to Live By""]","[""https://openlibrary.org/books/OL57557924M.json""]",OL42419347W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL2896994W,Artificial intelligence,"[""Peter Norvig"", ""Stuart J. Russell""]","[""A Modern Approach"", ""a Modern Approach"", ""a modern approach""]","[""https://openlibrary.org/books/OL1110673M.json"", ""https://openlibrary.org/books/OL22814766M.json"", ""https://openlibrary.org/books/OL50982233M.json"", ""https://openlibrary.org/books/OL54912712M.json""]",OL2896994W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL44541409W,Artificial Intelligence,"[""Melanie Mitchell""]","[""A Guide for Thinking Humans""]","[""https://openlibrary.org/books/OL60822928M.json""]",OL44541409W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL44545182W,Artificial Intelligence,"[""Alfred Essa""]","[""Shaping the Future of Innovation""]","[""https://openlibrary.org/books/OL60828063M.json"", ""https://openlibrary.org/books/OL60829179M.json""]",OL44545182W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL45151992W,Artificial Intelligence,"[""Daimon Hampton"", ""Emma Carlson-Berne""]","[""A Graphic History""]","[""https://openlibrary.org/books/OL61571694M.json""]",OL45151992W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
